n,k,m,res,time
30,3,1,1.783525842,2936.421885
30,6,1,1.045501774,3429.583483
35,3,1,1.926428085,2916.634369
35,6,1,1.129270983,3431.347787
40,3,1,2.05943825,2937.634567
40,6,1,1.207241461,3392.927294
45,3,1,2.184364128,2927.468128
45,6,1,1.280472935,3494.078984
50,3,1,2.302521961,2932.84059
50,6,1,1.349736986,3408.081154
