TPP_input_23_3_1.gtsp,23,3,1,0.2928
TPP_input_23_3_2.gtsp,23,3,2,0.4364
TPP_input_23_3_3.gtsp,23,3,3,0.624
TPP_input_23_4_1.gtsp,23,4,1,0.275
TPP_input_23_4_2.gtsp,23,4,2,0.4314
TPP_input_23_4_3.gtsp,23,4,3,0.5974
TPP_input_23_4_4.gtsp,23,4,4,0.7326
TPP_input_23_5_1.gtsp,23,5,1,0.2722
TPP_input_23_5_2.gtsp,23,5,2,0.4248
TPP_input_23_5_3.gtsp,23,5,3,0.5364000000000001
TPP_input_23_5_4.gtsp,23,5,4,0.6822000000000001
TPP_input_23_5_5.gtsp,23,5,5,0.8373999999999999
TPP_input_24_3_1.gtsp,24,3,1,0.3364
TPP_input_24_3_2.gtsp,24,3,2,0.4852
TPP_input_24_3_3.gtsp,24,3,3,0.639
TPP_input_24_4_1.gtsp,24,4,1,0.3052
TPP_input_24_4_2.gtsp,24,4,2,0.446
TPP_input_24_4_3.gtsp,24,4,3,0.512
TPP_input_24_4_4.gtsp,24,4,4,0.7602
TPP_input_24_5_1.gtsp,24,5,1,0.28280000000000005
TPP_input_24_5_2.gtsp,24,5,2,0.3606
TPP_input_24_5_3.gtsp,24,5,3,0.5614
TPP_input_24_5_4.gtsp,24,5,4,0.6922
TPP_input_24_5_5.gtsp,24,5,5,0.8176
TPP_input_25_3_1.gtsp,25,3,1,0.3238
TPP_input_25_3_2.gtsp,25,3,2,0.4828
TPP_input_25_3_3.gtsp,25,3,3,0.649
TPP_input_25_4_1.gtsp,25,4,1,0.3094
TPP_input_25_4_2.gtsp,25,4,2,0.43220000000000003
TPP_input_25_4_3.gtsp,25,4,3,0.6195999999999999
TPP_input_25_4_4.gtsp,25,4,4,0.7394000000000001
TPP_input_25_5_1.gtsp,25,5,1,0.3034
TPP_input_25_5_2.gtsp,25,5,2,0.421
TPP_input_25_5_3.gtsp,25,5,3,0.5953999999999999
TPP_input_25_5_4.gtsp,25,5,4,0.6988000000000001
TPP_input_25_5_5.gtsp,25,5,5,0.8412000000000001
TPP_input_26_3_1.gtsp,26,3,1,0.31579999999999997
TPP_input_26_3_2.gtsp,26,3,2,0.5112
TPP_input_26_3_3.gtsp,26,3,3,0.6704
TPP_input_26_4_1.gtsp,26,4,1,0.2834
TPP_input_26_4_2.gtsp,26,4,2,0.46560000000000007
TPP_input_26_4_3.gtsp,26,4,3,0.6235999999999999
TPP_input_26_4_4.gtsp,26,4,4,0.7848
TPP_input_26_5_1.gtsp,26,5,1,0.3156
TPP_input_26_5_2.gtsp,26,5,2,0.41419999999999996
TPP_input_26_5_3.gtsp,26,5,3,0.6414000000000001
TPP_input_26_5_4.gtsp,26,5,4,0.735
TPP_input_26_5_5.gtsp,26,5,5,0.8762000000000001
TPP_input_27_3_1.gtsp,27,3,1,0.34219999999999995
TPP_input_27_3_2.gtsp,27,3,2,0.4612
TPP_input_27_3_3.gtsp,27,3,3,0.6882
TPP_input_27_4_1.gtsp,27,4,1,0.2852
TPP_input_27_4_2.gtsp,27,4,2,0.4452
TPP_input_27_4_3.gtsp,27,4,3,0.5835999999999999
TPP_input_27_4_4.gtsp,27,4,4,0.8203999999999999
TPP_input_27_5_1.gtsp,27,5,1,0.3086
TPP_input_27_5_2.gtsp,27,5,2,0.4516
TPP_input_27_5_3.gtsp,27,5,3,0.5596
TPP_input_27_5_4.gtsp,27,5,4,0.6996
TPP_input_27_5_5.gtsp,27,5,5,0.8482
TPP_input_28_3_1.gtsp,28,3,1,0.3306
TPP_input_28_3_2.gtsp,28,3,2,0.5076
TPP_input_28_3_3.gtsp,28,3,3,0.7298
TPP_input_28_4_1.gtsp,28,4,1,0.31100000000000005
TPP_input_28_4_2.gtsp,28,4,2,0.47040000000000004
TPP_input_28_4_3.gtsp,28,4,3,0.6454000000000001
TPP_input_28_4_4.gtsp,28,4,4,0.805
TPP_input_28_5_1.gtsp,28,5,1,0.30419999999999997
TPP_input_28_5_2.gtsp,28,5,2,0.42879999999999996
TPP_input_28_5_3.gtsp,28,5,3,0.5538000000000001
TPP_input_28_5_4.gtsp,28,5,4,0.7262
TPP_input_28_5_5.gtsp,28,5,5,0.8817999999999999
TPP_input_29_3_1.gtsp,29,3,1,0.3476
TPP_input_29_3_2.gtsp,29,3,2,0.5272
TPP_input_29_3_3.gtsp,29,3,3,0.7203999999999999
TPP_input_29_4_1.gtsp,29,4,1,0.29779999999999995
TPP_input_29_4_2.gtsp,29,4,2,0.5024000000000001
TPP_input_29_4_3.gtsp,29,4,3,0.6650000000000001
TPP_input_29_4_4.gtsp,29,4,4,0.826
TPP_input_29_5_1.gtsp,29,5,1,0.3128
TPP_input_29_5_2.gtsp,29,5,2,0.46060000000000006
TPP_input_29_5_3.gtsp,29,5,3,0.627
TPP_input_29_5_4.gtsp,29,5,4,0.7242
TPP_input_29_5_5.gtsp,29,5,5,0.9252
TPP_input_30_3_1.gtsp,30,3,1,0.34719999999999995
TPP_input_30_3_2.gtsp,30,3,2,0.508
TPP_input_30_3_3.gtsp,30,3,3,0.72
TPP_input_30_4_1.gtsp,30,4,1,0.3254
TPP_input_30_4_2.gtsp,30,4,2,0.458
TPP_input_30_4_3.gtsp,30,4,3,0.6594000000000001
TPP_input_30_4_4.gtsp,30,4,4,0.8762000000000001
TPP_input_30_5_1.gtsp,30,5,1,0.3264
TPP_input_30_5_2.gtsp,30,5,2,0.45600000000000007
TPP_input_30_5_3.gtsp,30,5,3,0.596
TPP_input_30_5_4.gtsp,30,5,4,0.7538
TPP_input_30_5_5.gtsp,30,5,5,0.9142000000000001
